Fund Manager,Fund Name,Fund Code,Inception Date,Fund Category,Fund Short Name,Subcategory,Fund Objective,Fund Benchmark,Risk Category,Inception Price,Unit Holder,Investment %
GIB Capital,GIB Opportunistic Saudi Equity Fund - Class (A),158001,26-DEC-17,Equity Funds - Local,GIBOSEF - A,-,Achieving capital growth in the medium and long term by investing in equties listed in the main Saudi market or listed in the parallel market (Nomu) in accordance with the provisions of Shariah.,S&P Saudi Arabia Domestic Shariah Total Return in Local Currency Index,,0,0,0
GIB Capital,GIB Opportunistic Saudi Equity Fund - Class (B),158002,31-DEC-17,Equity Funds - Local,GIBOSEF - B,Shari'ah Compliant,Generate capital growth over the medium and long-term by investing in Sharia compliant stocks listed on Saudi Stock Exchange (Tadawul) and Parallel Market (Nomu).,S&P Saudi Arabia Domestic Shariah Total Return in Local Currency Index,,10,4,0
GIB Capital,GIB Opportunistic Saudi Equity Fund - Class (C),158003,31-DEC-17,Equity Funds - Local,GIBOSEF - C,Shari'ah Compliant,To achieve medium and long term capital growth by investing in stocks listed on Saudi Stock Exchange (Tadawul) and Parallel Market (Nomu).,S&P Saudi Arabia Domestic Shariah Total Return in Local Currency Index,,0,8,0
GIB Capital,GIB Saudi Equity Fund - Class A,158004,31-JAN-17,Equity Funds - Local,GIBSEF - A,-,Achieving capital growth in the medium and long term by investing in equties listed in the main Saudi market or listed in the parallel market (Nomu).,S&P Saudi Arabia Domestic Total Return in Local Currency Index,,0,0,0
GIB Capital,GIB Saudi Equity Fund - Class B,158005,31-JAN-17,Equity Funds - Local,GIBSEF - B,-,To achieve medium and long term capital growth by investing in stocks listed on Saudi Stock Exchange (Tadawul) and Parallel Market (Nomu),S&P Saudi Arabia Domestic Total Return in Local Currency Index,,10,1,0
GIB Capital,GIB Saudi Equity Fund - Class C,158006,31-JAN-18,Equity Funds - Local,GIBSEF - C,-,To achieve medium and long term capital growth by investing in stocks listed on Saudi Stock Exchange (Tadawul) and Parallel Market (Nomu),S&P Saudi Arabia Domestic Total Return in Local Currency Index,,10,6,0
GIB Capital,GIB Opportunistic MENA Equity Fund - Class (C),158009,31-OCT-19,Equity Funds - Arabian,GIBOMEF - C,-,To achieve medium and long term capital growth by investing in stocks listed in MENA.,S&P Pan Arab Composite Total Return Index,,10,2,0
GIB Capital,GIB MENA ESG Equity Fund - Class A,158010,28-DEC-22,Equity Funds - International/ Global,GIBMESGEF - A,-,To achieve medium and long term capital growth by investing in stocks listed in MENA and following the ESG standards.,S&P Pan Arab Composite Total Return Index,,0,0,0
GIB Capital,GIB MENA ESG Equity Fund - Class B,158011,28-DEC-22,Equity Funds - International/ Global,GIBMESGEF - B,-,To achieve medium and long term capital growth by investing in stocks listed in MENA and following the ESG standards.,S&P Pan Arab Composite Total Return Index,,0,0,0
GIB Capital,GIB MENA ESG Equity Fund - Class C,158012,28-DEC-22,Equity Funds - International/ Global,GIBMESGEF - C,-,To achieve medium and long term capital growth by investing in stocks listed in MENA and following the ESG standards.,S&P Pan Arab Composite Total Return Index,,0,0,0
GIB Capital,GIB Murabaha Fund - Class A,158013,29-MAR-23,Money Market Funds - International,GIBMF - A,Shari'ah Compliant,To preserve capital by achieving investment returns in the short term by investing in Murabaha deposits with institutions regulated by the Central Bank of Saudi Arabia or subject to a regulatory body similar to the Central Bank of Saudi Arabia in the GCC countries and investing in sukuk and money market funds that are compatible with Shariah standards.,SAIBID,,0,0,0
GIB Capital,GIB Murabaha Fund - Class B,158014,29-MAR-23,Money Market Funds - International,GIBMF - B,Shari'ah Compliant,To preserve capital by achieving investment returns in the short term by investing in Murabaha deposits with institutions regulated by the Central Bank of Saudi Arabia or subject to a regulatory body similar to the Central Bank of Saudi Arabia in the GCC countries and investing in sukuk and money market funds that are compatible with Shariah standards.,SAIBID,,0,0,0
Alpha Capital Company,Alpha Saudi Equity Fund,159001,25-JUL-18,Equity Funds - Local,ASEF,Shari'ah Compliant,To provide medium & long-term capital growth by investing in listed equities in the Saudi Market. The fund invests its assets in a diversified portfolio of Shariah-compliant companies listed in the Saudi Equity Market.,SPSHDSAL Index,,0,0,0
Alpha Capital Company,Alpha Murabaha Fund,159002,15-OCT-18,Money Market Funds - Local,AMF,Shari'ah Compliant,To provide low risk return to unit holders while preserving capital and providing liquidity through investing mainly in Murabaha transactions and other financial instruments that are low risk short maturity and compliant with shariah principals. The fund does not distribute profit to unit holders but instead all profits and earned revenues are reinvested in the fund,1 M SIBOR,,10,0,162378.79
Alpha Capital Company,Alpha Saudi Freestyle Equity Fund,159003,15-MAY-23,Equity Funds - Local,AFSF,Shari'ah Compliant,To achieve high capital growth in the medium to long term for unitholders through investing and managing the portfolio effectively and focusing on a selection of shares of companies listed on the Saudi stock markets initial public offerings rights issues real estate traded funds and closed-end traded funds in compliance with the provisions of the Fund's Sharia Supervisory Committee. In addition the Fund may invest in short-term Murabaha transactions. The Fund's goal is to outperform the benchmark. No profits are distributed to the unit holders but all the net profits of the Fund and the dividends or revenues it receives are reinvested.,S&P Saudi Shariah Domestic,,0,0,0
Alpha Capital Company,Alpha Capital Public Sukuk Fund,159004,04-SEP-23,Bond/ Debt Funds - Local,APSF,Shari'ah Compliant,Alpha Capital Public Sukuk Fund aims to generate income in the medium and long term by investing mainly in Sukuk issued by sovereign  semi sovereign or corporate entities The fund can also invest in debt instruments funds private credit funds trade finance funds leasing funds money market instruments and funds derivatives contracts and structured products provided that all of the funds investments are compatible with the Sharia regulations and standards approved by the Sharia Supervision Committee in accordance with the investment strategies adopted by the fund manager,S&P GCC Sukuk Index,,0,0,0
Watani Wealth Management,AlWatani Saudi Equity Fund,163001,12-DEC-21,Equity Funds - Local,AlWatani Saudi Equity Fund,-,Al-Watani Saudi Equity Fund is a public open-ended fund that invest in companies listed in The Kingdom of Saudi Arabia and are the constituents of S&P Saudi Arabia Domestic Total Return in Local Currency Index,S&P Saudi Arabia Domestic Total Return in Local Currency Index,,0,0,0
Miyar Capital,Miyar Murabaha Fund,164001,03-JUL-22,Money Market Funds - Saudi Riyal Murabaha,Miyar Murabaha Fund,Shari'ah Compliant,The Fund aims to generate investment returns and maintain capital in low-risk investments.,Saibor 1 month,,0,0,0
Miyar Capital,Miyar Saudi Equity Fund,164004,03-MAY-23,Equity Funds - Local,Miyar Saudi Equity Fund,Shari'ah Compliant,Achieving capital growth in the medium and long term by investing primarily in shares of companies listed on the main Saudi stock market or listed on the parallel stock market Nomu and in shares of primary ( ) issues and priority rights listed on the main Saudi stock market or listed on the parallel stock market Nomu investment ( ) .,Idealing rating,,0,0,0
Rassanah Capital,Rassanh Flexible Saudi Equity Fund,165001,07-AUG-22,Equity Funds - Local,Rassanah FR,Shari'ah Compliant,Rassanah Flexible Saudi Equity Fund - Open Public Fund,IdealRatings Saudi Shariah-compliant,,0,0,0
Rassanah Capital,RASSANAH MURABAHA FUND,165002,01-DEC-22,Money Market Funds - Local,RASSANAH MURABAHA FUND,Shari'ah Compliant,investment in a low risk investment,SAIBOR one month,,0,0,0
Artal Capital Company,Artal Murabaha Fund (Class A),167111,24-JAN-23,Money Market Funds - Saudi Riyal Murabaha,Artal Murabaha Fund (Class A),Shari'ah Compliant,To provide low risk return to unit holders while preserving capital and providing liquidity through investing mainly in Murabaha transactions and other financial instruments that are low risk short maturity and compliant with shariah principals. The fund does not distribute profit to unit holders but instead all profits and earned revenues are reinvested in the fund,SAIBOD 1M,,0,0,0
Artal Capital Company,Artal Murabaha Fund (Class B),167112,24-JAN-23,Money Market Funds - Saudi Riyal Murabaha,Artal Murabaha Fund (Class B),Shari'ah Compliant,To provide low risk return to unit holders while preserving capital and providing liquidity through investing mainly in Murabaha transactions and other financial instruments that are low risk short maturity and compliant with shariah principals. The fund does not distribute profit to unit holders but instead all profits and earned revenues are reinvested in the fund.,SAIBOD 1M,,0,0,0
DOM Capital Financial Company,Dom Capital Murabaha Fund in Saudi Riyals,170170,09-AUG-23,Money Market Funds - Saudi Riyal Murabaha,Dom Capital Murabaha Fund,Shari'ah Compliant,The objects of fund to provide liquidity at the request of the investor and maintain capital and by investing in the money market instruments compliant with the standards of legitimacy for the Dom Capital Financial company . This fund seeks to achieve positive returns through investment in money market instruments.,SAIBOR,,0,0,0
